Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 08-Nov-2025),Crossref citations (as of 08-Nov-2025)
Working safely with robot workers: Recommendations for the new workplace,"Frank Hearl, John Howard, Vladimir Murashov",Journal of Occupational and Environmental Hygiene,13,3,pd61 - pd71,2016,10.1080/15459624.2015.1116700,29-Jan-2016,https://doi.org/10.1080/15459624.2015.1116700,4457.0,113.0
The adoption of robotics in pack houses for fresh produce handling,"Philip H Johnson, Barry J Mulholland, Pardeep S Panesar",The Journal of Horticultural Science and Biotechnology,99,1,p9 - p19,2024,10.1080/14620316.2023.2247835,10-Oct-2023,https://doi.org/10.1080/14620316.2023.2247835,2259.0,7.0
Artificial intelligence an essential factor for the benefit of companies: systematic review of the literature,"Santos Ruíz Hernández, Marco Antonio Díaz Martínez, Mario Alberto Morales Rodríguez, Herson Santos Ruíz Domínguez, Reina Verónica Román Salinas, Gabriela Cervantes Zubirías",Cogent Engineering,11,1,,2024,10.1080/23311916.2024.2380344,21-Jul-2024,https://doi.org/10.1080/23311916.2024.2380344,3578.0,1.0
Collaborative reinforcement learning for a two-robot job transfer flow-shop scheduling problem,"Kfir Arviv, Yael Edan, Helman Stern",International Journal of Production Research,54,4,p1196 - p1209,2016,10.1080/00207543.2015.1057297,15-Jul-2015,https://doi.org/10.1080/00207543.2015.1057297,1568.0,47.0
Balancing of assembly lines with collaborative robots: comparing approaches of the Benders' decomposition algorithm,"Celso Gustavo Stall Sikora, Christian Weckenborg",International Journal of Production Research,61,15,p5117 - p5133,2023,10.1080/00207543.2022.2093684,04-Jul-2022,https://doi.org/10.1080/00207543.2022.2093684,1038.0,21.0
Durability of the effectiveness of atmospheric plasma treatment applied to thermoplastic Styrene-Butadiene-Styrene (SBS) rubber,"F Arán-Ais, E Orgilés-Calpena, C Ruzafa-Silvestre, V M Serrano-Martínez",The Journal of Adhesion,101,1,p164 - p190,2025,10.1080/00218464.2024.2303441,11-Jan-2024,https://doi.org/10.1080/00218464.2024.2303441,156.0,2.0
Application of supportive and substitutive technologies in manual warehouse order picking: a content analysis,Eric H Grosse,International Journal of Production Research,62,3,p685 - p704,2024,10.1080/00207543.2023.2169383,24-Jan-2023,https://doi.org/10.1080/00207543.2023.2169383,5125.0,60.0
Interdisciplinary Methods and Approaches for Cybernetics and Systems Modeling,"Maria Pia Fanti, Achraf Jabeur Telmoudi, Enrique Herrera Viedma, Abderrahmen Zaafouri",Cybernetics and Systems,53,1,p1 - p3,2022,10.1080/01969722.2021.2008677,16-Dec-2021,https://doi.org/10.1080/01969722.2021.2008677,141.0,0.0
Collaborative or substitutive robots? Effects on workers' skills in manufacturing activities,"Néstor F Ayala, Jéssica de Assis Dornelles, Alejandro G Frank",International Journal of Production Research,61,22,p7922 - p7955,2023,10.1080/00207543.2023.2240912,31-Jul-2023,https://doi.org/10.1080/00207543.2023.2240912,2857.0,46.0
What about the human in human robot collaboration?,"S J Baltrusch, F Krause, M P de Looze, A W de Vries, W van Dijk",Ergonomics,65,5,p719 - p740,2022,10.1080/00140139.2021.1984585,13-Oct-2021,https://doi.org/10.1080/00140139.2021.1984585,3790.0,66.0
The impact of digital technologies on the achievement of the Sustainable Development Goals: evidence from the agri-food sector,"Angeloantonio Russo, Rosamartina Schena, Francesco Schiavone, Giustina Secundo, Riad Shams",Total Quality Management & Business Excellence,,,p1 - p17,5187,10.1080/14783363.2022.2065981,27-Apr-2022,https://doi.org/10.1080/14783363.2022.2065981,1389.0,38.0
Human-robot interaction: how worker influence in task allocation improves autonomy,"Britta Marleen Kirchhoff, Annette Kluge, Corinna Peifer, Alina Tausch",Ergonomics,65,9,p1230 - p1244,2022,10.1080/00140139.2022.2025912,31-Jan-2022,https://doi.org/10.1080/00140139.2022.2025912,1440.0,11.0
MIGHTY: a comprehensive platform for the development of medical image-guided holographic therapy,"Rafael Benito, Álvaro Bertelsen, Camilo A Cortes, M Angeles Garcia-Fidalgo, Amaia Iribar-Zabala, Karen Lopez-Linares, Gaspar Sánchez-Merino",Computer Methods in Biomechanics and Biomedical Engineering: Imaging & Visualization,11,4,p1081 - p1089,2023,10.1080/21681163.2022.2152373,30-Nov-2022,https://doi.org/10.1080/21681163.2022.2152373,89.0,1.0
A method for enhancing near-mirror object detection by integrating AWCS and CBAM into ResNet18,"Jun Hu, Ruixin Hu, Jinhua Zhang, You Zhou",Nondestructive Testing and Evaluation,40,9,p4355 - p4379,2025,10.1080/10589759.2024.2422530,04-Nov-2024,https://doi.org/10.1080/10589759.2024.2422530,97.0,1.0
"DOE Robot Perspective: Past, Present, and Future","Wendell Chun, William Hamel, Rodrigo Rimando",Nuclear Science and Engineering,199,8,p1273 - p1291,2025,10.1080/00295639.2024.2440286,16-Jan-2025,https://doi.org/10.1080/00295639.2024.2440286,189.0,0.0
Integrating Collaborative Learning and Advanced Technology in Industry 5.0: A Systematic Mapping Study and Taxonomy,"Jorge Luis Victória Barbosa, Rosemary Francisco, Wesllei Felipe Heckler, Robson Kerschner de Lima",International Journal of Human–Computer Interaction,41,1,p707 - p722,2025,10.1080/10447318.2024.2321406,19-Mar-2024,https://doi.org/10.1080/10447318.2024.2321406,514.0,3.0
Operating-level assessment for telerobotics based on electroencephalograph,"Shuang Liu, Yu Xie",International Journal of Computer Integrated Manufacturing,31,1,p101 - p114,2018,10.1080/0951192x.2017.1379094,17-Sep-2017,https://doi.org/10.1080/0951192x.2017.1379094,169.0,1.0
Human-centric production and logistics system design and management: transitioning from Industry 4.0 to Industry 5.0,"Cecilia Berlin, Eric H Grosse, W Patrick Neumann, Fabio Sgarbossa",International Journal of Production Research,61,22,p7749 - p7759,2023,10.1080/00207543.2023.2246783,25-Sep-2023,https://doi.org/10.1080/00207543.2023.2246783,11853.0,131.0
Museum robot guides or conventional audio guides? An experimental study,"Dietmar Heinke, Anna-Maria Velentza, Jeremy Wyatt",Advanced Robotics,34,24,p1571 - p1580,2020,10.1080/01691864.2020.1854113,08-Dec-2020,https://doi.org/10.1080/01691864.2020.1854113,525.0,23.0
A human-oriented design process for collaborative robotics,"Marianna Ciccarelli, Michele Germani, Giacomo Palmieri, Alessandra Papetti, Cecilia Scoccia",International Journal of Computer Integrated Manufacturing,36,12,p1760 - p1782,2023,10.1080/0951192x.2022.2128222,28-Sep-2022,https://doi.org/10.1080/0951192x.2022.2128222,584.0,16.0
Emergence of a new sector via a business ecosystem: a case study of Universal Robots and the collaborative robotics sector,Soo Jung Oh,Technology Analysis & Strategic Management,35,6,p645 - p658,2023,10.1080/09537325.2021.1986212,06-Oct-2021,https://doi.org/10.1080/09537325.2021.1986212,856.0,6.0
Emerging robotic regions in the United States: insights for regional economic evolution,"Benjamin R Kraft, Nancey Green Leigh",Regional Studies,52,6,p804 - p815,2018,10.1080/00343404.2016.1269158,13-Feb-2017,https://doi.org/10.1080/00343404.2016.1269158,2437.0,43.0
Lean Six Sigma and Industry 4.0 integration for Operational Excellence: evidence from Italian manufacturing companies,"Andrea Chiarini, Maneesh Kumar",Production Planning & Control,32,13,p1084 - p1101,2021,10.1080/09537287.2020.1784485,26-Jun-2020,https://doi.org/10.1080/09537287.2020.1784485,5602.0,218.0
Tomorrow's demons: a scoping review of the risks associated with emerging technologies,"Isaiah Elstak, Brandon J King, Scott McLean, Gemma J M Read, Paul M Salmon",Ergonomics,68,9,p1491 - p1507,2025,10.1080/00140139.2024.2416554,22-Oct-2024,https://doi.org/10.1080/00140139.2024.2416554,2149.0,2.0
The industrial management of SMEs in the era of Industry 4.0,"Rodolphe Barbaray, Samir Lamouri, Alexandre Moeuf, Robert Pellerin, Simon Tamayo-Giraldo",International Journal of Production Research,56,3,p1118 - p1136,2018,10.1080/00207543.2017.1372647,08-Sep-2017,https://doi.org/10.1080/00207543.2017.1372647,22092.0,848.0
Collision-free robotic manipulation: a review and bibliometric analysis,"Jose Antonio Ferez-Rubio, Francisco José Martínez-Peral, Dennis Mronga, Carlos Perez-Vidal, José Vicente Segura-Heras, José de Gea Fernández",International Journal of Systems Science,,,p1 - p24,5187,10.1080/00207721.2025.2547392,20-Aug-2025,https://doi.org/10.1080/00207721.2025.2547392,91.0,0.0
Control of multiagent networks with misbehaving nodes,"Emre Yildirim, Tansel Yucelen",International Journal of Systems Science,52,13,p2858 - p2874,2021,10.1080/00207721.2021.1910875,30-Apr-2021,https://doi.org/10.1080/00207721.2021.1910875,341.0,10.0
"Identification of critical success factors, risks and opportunities of Industry 4.0 in SMEs","Romain Eburdy, Samir Lamouri, Alexandre Moeuf, Robert Pellerin, Simon Tamayo-Giraldo, Estefania Tobon-Valencia",International Journal of Production Research,58,5,p1384 - p1400,2020,10.1080/00207543.2019.1636323,04-Jul-2019,https://doi.org/10.1080/00207543.2019.1636323,13809.0,371.0
Collaborative Intelligence: A Scoping Review Of Current Applications,"Claire Mason, Claire Naughtin, Cecile Paris, Andrew Reeson, Emma Schleiger",Applied Artificial Intelligence,38,1,,2024,10.1080/08839514.2024.2327890,17-Mar-2024,https://doi.org/10.1080/08839514.2024.2327890,7013.0,30.0
A future concern of iterative learning control : A survey,"Farkhanda Afzal, Mehmet Serif Aldemir, Lin Hui, Saleem Riaz",Journal of Statistics and Management Systems,24,6,p1301 - p1322,2021,10.1080/09720510.2020.1856421,20-Apr-2021,https://doi.org/10.1080/09720510.2020.1856421,136.0,3.0
Design of Human-Machine Integration System to Meet Diverse Interactive Tasks,"Yameng Yang, Yu Zhang",International Journal of Human–Computer Interaction,,,p1 - p14,5187,10.1080/10447318.2024.2307689,13-Feb-2024,https://doi.org/10.1080/10447318.2024.2307689,145.0,3.0
A connective framework to minimize the anxiety of collaborative Cyber-Physical System,"Syed Osama Bin Islam, Azfar Khalid, Waqas Akbar Lughmani, Waqar S Qureshi",International Journal of Computer Integrated Manufacturing,37,4,p454 - p472,2024,10.1080/0951192x.2022.2163294,01-Jan-2023,https://doi.org/10.1080/0951192x.2022.2163294,272.0,7.0
Development of writing task recombination technology based on DMP segmentation via verbal command for Baxter robot,"Andy Annamalai, Chunxu Li, Shaoxiang Li, Qingsong Xu, Chenguang Yang",Systems Science & Control Engineering,6,1,p350 - p359,2018,10.1080/21642583.2018.1509397,14-Aug-2018,https://doi.org/10.1080/21642583.2018.1509397,940.0,5.0
A context-aware real-time human-robot collaborating reinforcement learning-based disassembly planning model under uncertainty,"Ashkan Amirnia, Samira Keivanpour",International Journal of Production Research,62,11,p3972 - p3993,2024,10.1080/00207543.2023.2252526,30-Aug-2023,https://doi.org/10.1080/00207543.2023.2252526,1335.0,15.0
Cross-Domain Knowledge Transfer Using High Dynamic Range Imaging in Synthetic Datasets,"Ioannis Mariolis, Georgia Peleka, Dimitrios Sarafis, Dimitrios Tzovaras",Cybernetics and Systems,54,3,p372 - p386,2023,10.1080/01969722.2022.2030004,01-Feb-2022,https://doi.org/10.1080/01969722.2022.2030004,131.0,0.0
Integration of Robotics and Computer Vision for Responsive and Autonomous Bricklaying in Construction,"Sevgi Altun, Adam Fingrut, Yangzhi Li",Technology|Architecture + Design,8,2,p271 - p281,2024,10.1080/24751448.2024.2405406,26-Nov-2024,https://doi.org/10.1080/24751448.2024.2405406,1188.0,1.0
A roadmap for Assembly 4.0: self-configuration of fixed-position assembly islands under Graduation Intelligent Manufacturing System,"Daqiang Guo, George Q Huang, Shiquan Ling, Yiming Rong, Ray Y Zhong",International Journal of Production Research,58,15,p4631 - p4646,2020,10.1080/00207543.2020.1762944,20-May-2020,https://doi.org/10.1080/00207543.2020.1762944,2473.0,41.0
'Logistics 4.0' technologies in the 3PL industry: a maturity model,"Martina Baglio, Alessandro Creazza, Fabrizio Dallari",Production Planning & Control,36,12,p1696 - p1712,2025,10.1080/09537287.2024.2405717,23-Sep-2024,https://doi.org/10.1080/09537287.2024.2405717,582.0,5.0
Optimised scheduling in human-robot collaboration - a use case in the assembly of printed circuit boards,"Karin Bogner, Ulrich Pferschy, Roland Unterberger, Herwig Zeiner",International Journal of Production Research,56,16,p5522 - p5540,2018,10.1080/00207543.2018.1470695,09-Aug-2018,https://doi.org/10.1080/00207543.2018.1470695,4256.0,66.0
Ageing workforce management in manufacturing systems: state of the art and future research agenda,"Daria Battini, David Bogataj, Martina Calzavara, Fabio Sgarbossa, Ilenia Zennaro",International Journal of Production Research,58,3,p729 - p747,2020,10.1080/00207543.2019.1600759,25-Apr-2019,https://doi.org/10.1080/00207543.2019.1600759,24558.0,152.0
Towards uncertainty of End-of-Use product recycling: a general screw connection-oriented disassembly analysis,"Romeo Bandinelli, Kaile Huang, Sergio Terzi, Jinhua Xiao",International Journal of Production Research,,,p1 - p24,5187,10.1080/00207543.2025.2507111,22-May-2025,https://doi.org/10.1080/00207543.2025.2507111,168.0,3.0
Importance and effectiveness of digitalization for performance improvement in the food industry,"Michel J Anzanello, Flavio S Fogliatto, Marianne Gloet, Sherah Kurnia, Daniel Samson, Guilherme Luz Tortorella",Total Quality Management & Business Excellence,36,9-10,p919 - p945,2025,10.1080/14783363.2025.2498411,05-May-2025,https://doi.org/10.1080/14783363.2025.2498411,1216.0,2.0
Operationalisation and validation of a human factors-based decision support framework for technology adoption in the logistics sector,"Chiara Cimini, Mattia Galimberti, Alexandra Lagorio, Claudia Piffari, Roberto Pinto, Fabiana Pirola",International Journal of Logistics Research and Applications,27,11,p2238 - p2260,2024,10.1080/13675567.2023.2235298,12-Jul-2023,https://doi.org/10.1080/13675567.2023.2235298,546.0,7.0
Α Behavior Trees-based architecture towards operation planning in hybrid manufacturing,"Zoi Arkouli, George Kokotinis, Sotiris Makris, George Michalos",International Journal of Computer Integrated Manufacturing,37,3,p324 - p349,2024,10.1080/0951192x.2023.2228254,30-Jun-2023,https://doi.org/10.1080/0951192x.2023.2228254,1938.0,11.0
IoT-based smart pharmacies for optimizing stock management with diffusion hierarchical kernel auto-associative Prairie Dog polynomial convolutional attention network,"Bhuvana Suganthi D, Arunkumar M S, P Rajendran, N Sivapriya",International Journal of Management Science and Engineering Management,,,p1 - p16,5187,10.1080/17509653.2025.2552454,08-Sep-2025,https://doi.org/10.1080/17509653.2025.2552454,56.0,0.0
Untying cable by combining 3D deep neural network with deep reinforcement learning,"Zheming Fan, Toyohiro Hayashi, Takeshi Ohashi, Wanpeng Shao",Advanced Robotics,37,5,p380 - p394,2023,10.1080/01691864.2022.2126729,26-Sep-2022,https://doi.org/10.1080/01691864.2022.2126729,220.0,1.0
Robotic Control Strategies Applicable to Architectural Design,"Jaeheung Park, Mathew Schwartz",Technology|Architecture + Design,1,1,p73 - p82,2017,10.1080/24751448.2017.1292796,01-May-2017,https://doi.org/10.1080/24751448.2017.1292796,545.0,4.0
Disparities in robot adoption among U.S. manufacturers: a critical economic development challenge,"Benjamin Kraft, Heonyeong Lee, Nancey Green Leigh",Industry and Innovation,29,9,p1025 - p1044,2022,10.1080/13662716.2021.2007757,23-Jan-2022,https://doi.org/10.1080/13662716.2021.2007757,7737.0,15.0
"Programming cobots by voice: a pragmatic, web-based approach","Tudor B Ionescu, Sebastian Schlund",International Journal of Computer Integrated Manufacturing,36,1,p86 - p109,2023,10.1080/0951192x.2022.2148754,26-Nov-2022,https://doi.org/10.1080/0951192x.2022.2148754,1723.0,5.0
Searching for epistemological passe-partout: naming and defining the current technological revolution,Simone Fari,Innovation: The European Journal of Social Science Research,,,p1 - p18,5187,10.1080/13511610.2025.2576115,21-Oct-2025,https://doi.org/10.1080/13511610.2025.2576115,5.0,0.0
Reviewing and conceptualising the role of 4.0 technologies for sustainable warehousing,"Luca Cannava, Eric H Grosse, Sara Perotti, Jörg M Ries",International Journal of Production Research,63,6,p2305 - p2337,2025,10.1080/00207543.2024.2396015,12-Sep-2024,https://doi.org/10.1080/00207543.2024.2396015,1975.0,11.0
Gestures Over Video Streams to Support Remote Collaboration on Physical Tasks,"Susan R Fussell, Adam D I Kramer, Elizabeth Mauer, Jiazhi Ou, Leslie D Setlock, Jie Yang",Human–Computer Interaction,19,3,p273 - p309,2004,10.1207/s15327051hci1903_3,12-Nov-2009,https://doi.org/10.1207/s15327051hci1903_3,774.0,265.0
The role of agglomeration in digitalisation and productivity: an empirical examination of manufacturing SMEs in South Korea,"Taelim Choi, Jeong-Il Park",Asian Journal of Technology Innovation,33,1,p227 - p243,2025,10.1080/19761597.2024.2355223,21-May-2024,https://doi.org/10.1080/19761597.2024.2355223,2151.0,3.0
Proposition of a software-assisted methodology to solve safety issues in reconfigurable assembly systems in a short time,"Thierry Berger, Thérèse Bonte, Yassine Idel Mahjoub, Yves Sallez",International Journal of Computer Integrated Manufacturing,36,11,p1649 - p1674,2023,10.1080/0951192x.2023.2204465,21-Apr-2023,https://doi.org/10.1080/0951192x.2023.2204465,106.0,2.0
