"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Robotics Solution for Agriculture: Automated and IoT-enabled Tomato Picking and Packing","A. Stepanova; H. Pham; A. Zourmand","HAMK Tech Research Unit Häme Universitv of Applied Sciences, Hämeenlinna, Finland; HAMK Tech Research Unit Häme Universitv of Applied Sciences, Hämeenlinna, Finland; HAMK Tech Research Unit Häme Universitv of Applied Sciences, Hämeenlinna, Finland","2023 IEEE International Conference on Agrosystem Engineering, Technology & Applications (AGRETA)","28 Sep 2023","2023","","","108","112","This paper presents a novel robotics solution for the food industry, focusing on automated and IoT-enabled tomato picking and packing. The work includes a pilot execution of a low-cost implementation of Internet of Things (IoT) and Machine to Machine (M2M) communication for the postharvest stage, specifically targeting tomato picking and primary packing using a computer vision-based robotic arm. The vision system employs You Only Look Once (YOLO) model weights to accurately detect and localize tomatoes. The proposed IoT development enables users to send commands specifying the desired number of tomatoes to be packed, while also providing easy control and monitoring capabilities for workers. The command transmission occurs via a local network that incorporates a collaborative robot UR5, a Zivid Two 3D industrial camera connected to a laptop, and a Raspberry Pi microcomputer. This work addresses the crucial aspects of food safety and labor shortage in small and medium-sized enterprises (SMEs), while also paving the way for automated tomato processing to ensure the high quality of fresh, perishable tomatoes.","","979-8-3503-4733-3","10.1109/AGRETA57740.2023.10262632","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10262632","Computer Vision;Food Industry;IoT;Robotics","Three-dimensional displays;Service robots;Machine vision;Robot vision systems;Containers;Safety;Internet of Things","","2","","13","IEEE","28 Sep 2023","","","IEEE","IEEE Conferences"
"Indoor and Outdoor Face Recognition for Social Robot, Sanbot Robot as Case Study","E. Ashtari; M. A. Basiri; S. M. Nejati; H. Zandi; S. H. S. Rezaei; M. T. Masouleh; A. Kalhor","School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran; School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran",2020 28th Iranian Conference on Electrical Engineering (ICEE),"26 Nov 2020","2020","","","1","7","The interaction between human and robots is of paramount importance in comforting robot and human in the context of social demand. For the purpose of human-robot interaction, the robot should have the ability to perform a variety of actions including face recognition, path planning, etc. In this paper, face recognition has been implemented on the Sanbot robot. Since the Sanbot robot is intended to work in real environment, therefore indoor and outdoor environment is taken into account in proposing the corresponding face recognition algorithm. For each case a robust pre-processing algorithm should be designed and which can circumvent a challenging problem in face recognition, namely, different lighting conditions (light intensity, angle of radiation, etc.). In case of indoor environment, faces in an captured image by the robot HD camera are found using a Haar-cascade algorithm. Afterwards, a histogram equalization is applied to face images in order to standardize them. Then commonly practiced Deep convolutional neural network structures such as Inception and ResNet are used to design a model and trained end-to-end on a customized dataset with strong augmentation. Finally, by using a voting method, proper prediction is carried out on each face. In what concerns the outdoor environment, which has more challenges, upon applying histogram Equalization on the captured image, faces are found using a MultiTask Cascaded Convolutional Neural Network. Then face images are aligned as head orientation are corrected. Finally, cropped face image is fed to Siamese Network in order to extract face features and verifying individuals. From several practical results it has been inferred that the accuracy of the indoor method is nearly 93% without voting and with voting 97%, and the outdoor method is about 95%.","2642-9527","978-1-7281-7296-5","10.1109/ICEE50131.2020.9260698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9260698","Face recognition;Deep Neural Network;Siamese Neural Network;Sanbot robot;Social robot;Human-robot interaction","Face recognition;Robots;Cameras;Servers;Training;Testing;Streaming media","","4","","18","IEEE","26 Nov 2020","","","IEEE","IEEE Conferences"
"Human Movement Imitation for Robot Therapy using the NAO Robot","C. D. S. Ompico; E. D. Subido; J. N. Banayo; F. E. T. Munsayac; R. G. Baldovino; N. T. Bugtai","Institute of Biomedical Engineering and Health Technologies (IBEHT), De La Salle University 2401 Taft Avenue, Manila, Philippines; Institute of Biomedical Engineering and Health Technologies (IBEHT), De La Salle University 2401 Taft Avenue, Manila, Philippines; Institute of Biomedical Engineering and Health Technologies (IBEHT), De La Salle University 2401 Taft Avenue, Manila, Philippines; Institute of Biomedical Engineering and Health Technologies (IBEHT), De La Salle University 2401 Taft Avenue, Manila, Philippines; Institute of Biomedical Engineering and Health Technologies (IBEHT), De La Salle University 2401 Taft Avenue, Manila, Philippines; Institute of Biomedical Engineering and Health Technologies (IBEHT), De La Salle University 2401 Taft Avenue, Manila, Philippines","2021 IEEE 13th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)","16 Mar 2022","2021","","","1","5","One of the methods currently used in healthcare, with the use of social robots, is called robot therapy. This type of therapy is most commonly used for accompanying elders, and those with mental disorders. The main point of robot therapy is to provide nonhuman companionship, as those with mental disorders, especially anxiety, prefer non-judgmental company. However, the robots used mostly are currently in animal forms, which imitate the behavior of animals. This study aims to approach a more human-like behavior, but as robots cannot possess any judgement, patients are likely to feel more comfortable expressing themselves. Human movement is focused upon before proceeding to behavior imitation. In this study, only the upper limbs are detected and imitated using the concept of imitation learning. The user’s joints are detected by a 3D camera that sends the data to a program that computes the change in angle for each joint, which then causes the humanoid to execute similar movements. This research made use of the robot operating system (ROS) making the system flexible and easy to improve upon.","","978-1-6654-0167-8","10.1109/HNICEM54116.2021.9731985","Tokyo University of Agriculture and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9731985","imitation learning;robot therapy;ROS;social robot","Three-dimensional displays;Animals;Delay effects;Robot vision systems;Medical treatment;Humanoid robots;Programming","","1","","13","IEEE","16 Mar 2022","","","IEEE","IEEE Conferences"
"Multi-Vision-Based Picking Point Localisation of Target Fruit for Harvesting Robots","C. Beldek; A. Dunn; J. Cunningham; E. Sariyildiz; S. L. Phung; G. Alici","School of Mechanical, Materials, Mechatronic, and Biomedical Engineering, University of Wollongong, Wollongong, NSW, Australia; School of Mechanical, Materials, Mechatronic, and Biomedical Engineering, University of Wollongong, Wollongong, NSW, Australia; School of Mechanical, Materials, Mechatronic, and Biomedical Engineering, University of Wollongong, Wollongong, NSW, Australia; School of Mechanical, Materials, Mechatronic, and Biomedical Engineering, University of Wollongong, Wollongong, NSW, Australia; School of Electrical, Computer and Telecommunications Engineering, University of Wollongong, Wollongong, NSW, Australia; School of Mechanical, Materials, Mechatronic, and Biomedical Engineering, University of Wollongong, Wollongong, NSW, Australia",2025 IEEE International Conference on Mechatronics (ICM),"26 Mar 2025","2025","","","1","6","This paper presents multi-vision-based localisation strategies for harvesting robots. Identifying picking points accurately is essential for robotic harvesting because insecure grasping can lead to economic loss through fruit damage and dropping. In this study, two multi-vision-based localisation methods, namely the analytical approach and model-based algorithms, were employed. The actual geometric centre points of fruits were collected using a motion capture system (mocap), and two different surface points Cfix and Ceih were extracted using two Red-Green-Blue-Depth (RGB-D) cameras. First, the picking points of the target fruit were detected using analytical methods. Second, various primary and ensemble learning methods were employed to predict the geometric centre of target fruits by taking surface points as input. Adaboost regression, the most successful model-based localisation algorithm, achieved 88.8% harvesting accuracy with a Mean Euclidean Distance (MED) of 4.40 mm, while the analytical approach reached 81.4% picking success with a MED of 14.25 mm, both demonstrating better performance than the single-camera, which had a picking success rate of 77.7% with a MED of 24.02 mm. To evaluate the effect of picking point accuracy in collecting fruits, a series of robotic harvesting experiments were performed utilising a collaborative robot (cobot). It is shown that multi-vision systems can improve picking point localisation, resulting in higher success rates of picking in robotic harvesting.","2837-1151","979-8-3315-3389-2","10.1109/ICM62621.2025.10934868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10934868","Agriculture;Harvesting robots;Multi-vision-based Localisation;Ensemble Learning;Adaboost Regression","Analytical models;Accuracy;Mechatronics;Shape;Crops;Collaborative robots;Grasping;Prediction algorithms;Motion capture;Ensemble learning","","","","34","IEEE","26 Mar 2025","","","IEEE","IEEE Conferences"
"Dishflipper: Development of a Large Food Debris Rinsing and Removal System Integration for Fully Automating Dish-Washing in a Pilot Soba Noodle Stand","W. S. Lo; S. Ozeki; K. Nakashima; K. Tsukamoto; T. Sawanobori; I. Mizuuchi",Tokyo University of Agriculture and Technology; Tokyo University of Agriculture and Technology; Connected Robotics; Connected Robotics; Connected Robotics; Tokyo University of Agriculture and Technology,2024 IEEE/SICE International Symposium on System Integration (SII),"9 Feb 2024","2024","","","301","307","This work presents a system integration designed for washing reusable dishes at a soba noodle restaurant. To address the need to manually rinse food debris and flip the dishes when in our previous system integration, we developed an add-on system that utilizes the Dishflipper mechanism mounted on an robot-arm, improving the overall capability of our system. Our proposed system integration is unique as it considers automating the removal of large food pieces initially left in the tableware using a cobot. The developed system integration has been shown effective in matching the workflow of a soba noodle stand, as demonstrated at the Hotels and Restaurant Show 2021 (HCJ) hosted in Tokyo. (Extended video: https://www.youtube.com/watch?v=-DcNNwO5h1I)","2474-2325","979-8-3503-1207-2","10.1109/SII58957.2024.10417567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10417567","","Shape;Lips;System integration;Grasping;Cleaning;Complexity theory;Robots","","1","","15","IEEE","9 Feb 2024","","","IEEE","IEEE Conferences"
"A generic and modularized Digital twin enabled human-robot collaboration","X. Lu; X. Li; W. Wang; K. -M. Chao; L. Xu; P. De Vrieze; Y. Jing","Department of Computing and Informatics, Bournemouth University, Bournemouth, UK; College of Informatics, Huazhong Agricultural University, Wuhan, China; School of Engineering Science, University of Skövde, Skövde, Sweden; Department of Computing and Informatics, Bournemouth University, Bournemouth, UK; Department of Computing and Informatics, Bournemouth University, Bournemouth, UK; Department of Computing and Informatics, Bournemouth University, Bournemouth, UK; Faculty of Business, Computing and Digital industries, Leeds Trinity University, Leeds, UK",2022 IEEE International Conference on e-Business Engineering (ICEBE),"7 Feb 2023","2022","","","66","73","Recently, the manufacturing paradigm shifts from mass production to mass customization, which results in urgently demands for the development of intelligent, flexible and automatic manufacturing systems for handling complex manufacturing tasks with high efficiency. The use of collaborative robots, an essential enabling technology for developing human-robot collaboration (HRC), is on the rise for human-centric intelligent automation design. An effective virtual simulation platform, which can continuously simulate and evaluate HRC performance in different working scenarios, is lacking in developing an HRC system in a sophisticated industrial arena. This paper presents a generic and modularized digital twin enabled HRC framework based on the synergy effect of human, robotic and environment-related factors to provide a flexible, compatible, re-configurable solution to ease the implementation of HRC in the real world. The feasibility of the proposed framework is validated through the practical implementation of a food packaging job, which involves a human operator and an ABB robotic arm collaboratively working together, on an industrial shop","","978-1-6654-9244-7","10.1109/ICEBE55470.2022.00021","Knowledge Foundation(grant numbers:EU FoF-06-2014); Natural Science Foundation of China(grant numbers:61803169); Fundamental Research Funds for the Central Universities(grant numbers:2662018JC029); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10035060","Human-robot collaboration;Digital Twin;collaborative robot","Intelligent automation;Industries;Mass production;Mass customization;Service robots;Collaboration;Manipulators","","5","","18","IEEE","7 Feb 2023","","","IEEE","IEEE Conferences"
"Adaptive Model Verification for Modularized Industry 4.0 Applications","X. Xin; S. L. Keoh; M. Sevegnani; M. Saerbeck; T. P. Khoo","School of Computing Science, University of Glasgow, Glasgow, U.K.; School of Computing Science, University of Glasgow, Glasgow, U.K.; School of Computing Science, University of Glasgow, Glasgow, U.K.; Digital Service, TÜV SÜD Asia Pacific, International Business Park, Singapore; Digital Service, TÜV SÜD Asia Pacific, International Business Park, Singapore",IEEE Access,"6 Dec 2022","2022","10","","125353","125364","Cyber-Physical Systems (CPSs) are the core of Industry 4.0 applications, integrating advanced technologies such as sensing, data analytics, and artificial intelligence. This kind of combination typically consists of networked sensors and decision-making processes in which sensor-generated data drive the control decisions. Hence, the trustworthiness of the sensors is essential to guarantee performance, safety and quality during operation. Formal model verification techniques are a valuable tool allowing strong reasoning about the high-level design of CPSs. However, the uncertainty exhibited by the underlying sensor networks is often ignored. Manufacturing processes typically involve composition of various modular CPSs that work as a whole, such as multiple Collaborative Robots (cobots) working together as a production line, which improves the flexibility and resilience of the production process. It is still challenging to verify this class of compositional process while also considering uncertainty. We propose a novel verification framework for modular CPSs that combines sensor-level data-driven fault detection and system-level model-driven probabilistic model checking. The resulting framework can rigorously quantify sensor readings’ trustworthiness, enabling formal reasoning for system failure prediction and reliability analysis. We validated our approach on a cobots-based manufacturing process.","2169-3536","","10.1109/ACCESS.2022.3225399","Singapore Economic Development Board (EDB); Industrial Postgraduate Programme (IPP) Grant; Engineering and Physical Sciences Research Council (EPSRC)(grant numbers:EP/F033206/1); Formal Methods for Agritech Resilience Modelling (FARM)(grant numbers:EP/S035362/1); Multi-Perspective Design of IoT Cybersecurity in Ground and Aerial Vehicles (MAGIC); Amazon Research Award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9965400","Probabilistic model checking;sensor networks;trustworthiness;cyber-physical system;collaborative robot;industry 4.0","Sensors;Probabilistic logic;Adaptation models;Model checking;Sensor systems;Robot sensing systems;Monitoring","","2","","42","CCBY","28 Nov 2022","","","IEEE","IEEE Journals"
"Impression Change on Nonverbal Non-Humanoid Robot by Interaction with Humanoid Robot","A. Ueno; K. Hayashi; I. Mizuuchi","Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, Koganei, Japan; Department of Computer Science and Engineering, Toyohashi University of Technology, Toyohashi, Japan; Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, Koganei, Japan",2019 28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),"13 Jan 2020","2019","","","1","6","Even if a robot is not designed with a specific impression, if there is a means that can add an impression later to the robot, it will be useful for social robot design, we considered. In particular, anthropomorphism seems to be an important impression of designing social interaction between humans and robots. In the movie, ”STAR WARS,” there is a non-humanoid robot, called R2-D2, which communicates mainly by sounds. A humanoid interpreter robot, called C-3PO, responds to the sound of R2-D2 with natural language and gesture. And the audience finds the personality in R2-D2 richer than the personality which is based on the information which R2-D2’s sounds have. It might be possible to change the impression of a non-humanoid robot emitting simple sounds by communication with a humanoid robot that speaks a natural language and make gestures. We conducted an impression evaluation experiment. In the condition where robots are interacting, the observer evaluated anthropomorphism of the nonhumanoid robot more than in the non-interacting condition. There were also some other impressions that have changed.","1944-9437","978-1-7281-2622-7","10.1109/RO-MAN46459.2019.8956240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8956240","","Natural languages;Social robots;Humanoid robots;Stars;Observers;Motion pictures;Anthropomorphism;Robots","","6","","18","IEEE","13 Jan 2020","","","IEEE","IEEE Conferences"
"Social Robots that can Sense and Improve Student Engagement","M. -L. Bourguet; Y. Jin; Y. Shi; Y. Chen; L. Rincon-Ardila; G. Venture","School of Electronic Engineering and Computer Science, Queen Mary University of London, London, UK; International School, Beijing University of Posts and Telecommunications, Beijing, China; International School, Beijing University of Posts and Telecommunications, Beijing, China; International School, Beijing University of Posts and Telecommunications, Beijing, China; Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, Tokyo, Japan; Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, Tokyo, Japan","2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","8 Mar 2021","2020","","","127","134","It is highly likely that classrooms of the future will feature robots to assist the human teachers. Tutor robots will be valued for their capacity to motivate learners and to provide affective support during learning activities, which will require from them to be able to understand the students' affects and behaviours, and to respond to these through appropriate expressive motions. In this paper, we investigate the impact a robot teacher's behaviour has on the students' level of engagement. We outline research work we have carried out to tackle four of the challenges inherent to the effective deployment of social robots in classrooms: (1) sensing and understanding learners' affective states and behaviours in class; (2) combining affect and behaviour understanding to capture classroom's dynamics; (3) knowing what gestures a social robot should use as a learning facilitator; and (4) equipping the tutor robot with expressive and motivational capabilities.","2470-6698","978-1-7281-6942-2","10.1109/TALE48869.2020.9368438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368438","social robots;emotional support;motivational pedagogical gestures;affect and behaviour understanding","Measurement;Conferences;Education;Robot sensing systems;Cognition;Sensors","","13","","30","IEEE","8 Mar 2021","","","IEEE","IEEE Conferences"
"Vision-Based Complete Scene Understanding Using Faster Region-Convolutional Neural Network","T. M R; S. Kumar Sahoo; M. B M; T. Soujanya; S. Kandaneri Ramamoorthy","Department of Computer Science and Engineering, Malnad College of Engineering, Hassan, India; VIT Bhopal University, Kothrikalan, India; Department of ECE, Nitte Meenakshi Institute of Technology, Bengaluru, India; School of Agricultural Sciences, SR University, Warangal, India; College of Non-Medicine, University: Texila American University, Guyana, South America",2024 International Conference on Data Science and Network Security (ICDSNS),"1 Oct 2024","2024","","","1","5","The computer vision is enabling the computer to process the obj ect identification and face recognition using artificial intelligence and machine learning. In computer vision the Human activity recognition (HAR) systems plays a key factor to capture from static images or playing videos. It can capture basic activities like walking and running but complex activities is a tough challenge to capture its environment objects for recognizes. In this proposed paper work address the faster Region-Convolutional Neural Network (R-CNN) method for holistic video understanding task, to enhance the human activity recognition. The semantic level description of the scene is the key factor for holistic video environment. It recognizes the human activities with autonomous system in robot and provides the contextual knowledge of the action event. Then the vision module and the social robot are integrated for natural and realistic context-based human robot interaction. The social robots need to familiar with the surrounding of the environment to react correctly for different scenarios. The faster R-CNN method obtain the accuracy with 89% with HAR dataset. The importance of contextual understanding in human activity is highlighted in recognition system.","","979-8-3503-7311-0","10.1109/ICDSNS62112.2024.10690903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10690903","computer vision;fast R-CNN method;human activity recognition (HAR);holistic video understanding;human robot interaction","Computer vision;Visualization;Accuracy;Social robots;Neural networks;Semantics;Network security;Robustness;Human activity recognition;Videos","","","","15","IEEE","1 Oct 2024","","","IEEE","IEEE Conferences"
"Thinking Aloud with a Tutoring Robot to Enhance Learning","A. Ramachandran; C. -M. Huang; E. Gartland; B. Scassellati",Yale University; Johns Hopkins University; Greens Farms Academy; Yale University,2018 13th ACM/IEEE International Conference on Human-Robot Interaction (HRI),"8 Jul 2021","2018","","","59","68","Thinking aloud, while requiring extra mental effort, is a metacognitive technique that helps students navigate through complex problem-solving tasks. Social robots, bearing embodied immediacy that fosters engaging and compliant interactions, are a unique platform to deliver problem-solving support such as thinking aloud to young learners. In this work, we explore the effects of a robot platform and the think-aloud strategy on learning outcomes in the context of a one-on-one tutoring interaction. Results from a 2x2 between-subjects study (n = 52) indicate that both the robot platform and use of the think-aloud strategy promoted learning gains for children. In particular, the robot platform effectively enhanced immediate learning gains, measured right after the tutoring session, while the think-aloud strategy improved persistent gains as measured approximately one week after the interaction. Moreover, our results show that a social robot strengthened students’ engagement and compliance with the think-aloud support while they performed cognitively demanding tasks. Our work indicates that robots can support metacognitive strategy use to effectively enhance learning and contributes to the growing body of research demonstrating the value of social robots in novel educational settings.","2167-2148","978-1-4503-4953-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9473626","Child-robot Interaction;Education;Tutoring","Atmospheric measurements;Navigation;Human-robot interaction;Gain measurement;Particle measurements;Problem-solving;Task analysis","","6","","43","","8 Jul 2021","","","IEEE","IEEE Conferences"
"An Online Toolkit for Applications Featuring Collaborative Robots Across Different Domains","J. Saenz; J. Bessler-Etten; M. Valori; G. B. Prange-Lasonder; I. Fassi; C. Bidard; A. B. Lassen; I. Paniti; A. Toth; T. Stuke; S. Wrede; K. Nielsen","Business Unit Robotic Systems, Fraunhofer IFF, Magdeburg, Germany; Roessingh Research and Development, Enschede, The Netherlands; Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing of the National Research Council of Italy (CNR STIIMA), Bari, Italy; Roessingh Research and Development, Enschede, The Netherlands; Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing of the National Research Council of Italy (CNR STIIMA), Milan, Italy; Université Paris-Saclay, Palaiseau, France; Department of Robot Technology, Danish Technological Institute, Odense, Denmark; Centre of Excellence in Production Informatics and Control, ELKH SZTAKI, Budapest, Hungary; DARPAMotion Ltd., Budapest, Hungary; Weidmüller Interface GmbH & Company KG, Detmold, Germany; Research Institute for Cognition and Robotics, University of Bielefeld, Bielefeld, Germany; Department of Robot Technology, Danish Technological Institute, Odense, Denmark",IEEE Transactions on Human-Machine Systems,"31 Jul 2023","2023","53","4","657","667","Collaborative robots (cobots) are being applied in areas such as healthcare, rehabilitation, agriculture and logistics, beyond the typical manufacturing setting. This is leading to a marked increase in the number of cobot stakeholders with little or no experience in traditional safety engineering. Considering the importance of human safety in collaborative robotic applications, this is currently proving to be a barrier to more widespread cobot usage. A web-based Toolkit that targets cobot end-users and manufacturers with varying levels of safety expertise was developed, helping them to understand how to consider the safety of their cobot applications. In this work, we will provide an overview of the state of the art for ensuring cobot safety, highlight the support provided by the “COVR Toolkit” and introduce three examples where third parties applied the Toolkit for their collaborative robotics application.","2168-2305","","10.1109/THMS.2022.3213416","European Union's Horizon 2020 research and innovation programme(grant numbers:779966); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931662","Human-robot interaction;intelligent robots;occupational safety;robots;safety;standardization","Robots;Safety;Stakeholders;Standards;Service robots;Risk management;Medical services","","6","","43","CCBY","27 Oct 2022","","","IEEE","IEEE Journals"
"COVR Toolkit – Supporting safety of interactive robotics applications","J. Saenz; I. Fassi; G. B. Prange-Lasonder; M. Valori; C. Bidard; A. B. Lassen; J. Bessler-Etten","Business Unit Robotic Systems Fraunhofer IFF, Magdeburg, Germany; Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing National Research Council of Italy, Milan, Italy; Roessingh Research and Development, Enschede, The Netherlands; Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing National Research Council of Italy, Milan, Italy; Université Paris-Saclay CEA List, Palaiseau, France; Department of Robot Technology, Danish Technological Institute, Odense, Denmark; Roessingh Research and Development, University of Twente, Enschede, The Netherlands",2021 IEEE 2nd International Conference on Human-Machine Systems (ICHMS),"27 Oct 2021","2021","","","1","6","Collaborative robots (cobots) are increasingly finding use beyond the traditional domain of manufacturing, in areas such as healthcare, rehabilitation, agriculture and logistics. This development greatly increases the size and variations in the level of expertise of cobot stakeholders. This becomes particularly critical considering the role of human safety for collaborative robotics applications. In order to support the wide range of cobot stakeholders, the EU-funded project COVR “Being safe around collaborative and versatile robots in shared spaces” has developed a freely available, web-based Toolkit that offers support to understand how to consider the safety of cobot applications. This paper describes the state of the art for ensuring safety across various life cycle phases in the development and implementation of collaborative robotics applications and highlights how the Toolkit provides practical support during these tasks. The Toolkit aims to be the most comprehensive resource for supporting cobot stakeholders in ensuring the safety of their applications.","","978-1-6654-0170-8","10.1109/ICHMS53169.2021.9582659","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582659","physical human-robot interaction;safety;collaborative robotics;standardization","Collaboration;Medical services;Regulation;Safety;Manufacturing;Stakeholders;Risk analysis","","5","","16","IEEE","27 Oct 2021","","","IEEE","IEEE Conferences"
"Analysis and Improvement in Healthcare Operation Utilizing Automation","Y. Amer; L. T. T. Doan; W. A. P. Dania; T. T. Tran","UniSA STEM, The University of South Australia, Adelaide, South Australia, Australia; UniSA STEM, The University of South Australia, Adelaide, South Australia, Australia; Faculty of Agricultural Techonlogy, University of Brawijaya, Malang, Indonesia; Department of Industrial Management, Can Tho University, Can Tho City, Vietnam","2022 International Conference on Control, Robotics and Informatics (ICCRI)","2 Sep 2022","2022","","","88","95","The development of various medications, vaccines and surgical methods in healthcare has been significantly contributing to longer life expectancy. However, there are still various challenges that need to be addressed in the healthcare system. One of the biggest challenges in streamlining processes is that medical staff are required to do various repetitive tasks manually. This study aims to examine how automation and robotics can be utilized to improve the efficiency of healthcare/biomedical services. The high-end collaborative robot, the “YuMi” robot is proposed to modify and streamline biomedical lab operations to work side-by-side with biomedical lab technicians to assist various repetitive and routine tasks. Four potential frameworks (i.e., aged care, sorting and dispensing medicines, assisting at surgical operations and sample collection) are developed to identify potential applications of the Yumi robot. With the Covid-19 pandemic situation, there is an immediate need for safe sample collections and patient interaction to mitigate the outbreak of the virus. In this study, a framework for the sample collection and testing of Covid-19 is also proposed to minimize the risks of medical staff and local transmissions. Samples testing of suspected patients, travellers, and those in close contact with Covid-19 patients will proceed without direct interactions with healthcare workers, eventually, minimizing exposure and spread of this communicable disease.","","978-1-6654-6800-8","10.1109/ICCRI55461.2022.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9870728","automation;healthcare services/biomedical;Yumi robot;Covid-19;robot applications","COVID-19;Automation;Pandemics;Infectious diseases;Vaccines;Task analysis;Informatics","","2","","25","IEEE","2 Sep 2022","","","IEEE","IEEE Conferences"
"Evaluating Guided Policy Search for Human-Robot Handovers","A. Kshirsagar; G. Hoffman; A. Biess","Sibley School of Mechanical and Aerospace Engineering, Cornell University, Ithaca, NY, USA; Sibley School of Mechanical and Aerospace Engineering, Cornell University, Ithaca, NY, USA; Department of Industrial Engineering and Management, Ben-Gurion University of the Negev, Be’er Sheva, Israel",IEEE Robotics and Automation Letters,"7 Apr 2021","2021","6","2","3933","3940","We evaluate the potential of Guided Policy Search (GPS), a model-based reinforcement learning (RL) method, to train a robot controller for human-robot object handovers. Handovers are a key competency for collaborative robots and GPS could be a promising approach for this task, as it is data efficient and does not require prior knowledge of the robot and environment dynamics. However, existing uses of GPS did not consider important aspects of human-robot handovers, namely large spatial variations in reach locations, moving targets, and generalizing over mass changes induced by the object being handed over. In this work, we formulate the reach phase of handovers as an RL problem and then train a collaborative robot arm in a simulation environment. Our results indicate that GPS is limited in the spatial generalizability over variations in the target location, but that this issue can be mitigated with the addition of local controllers trained over target locations in the high error regions. Moreover, learned policies generalize well over a large range of end-effector masses. Moving targets can be reached with comparable errors using a global policy trained on static targets, but this results in inefficient, high-torque, trajectories. Training on moving targets improves trajectories, but results in worse worst-case performance. Initial results suggest that lower-dimensional state representations are beneficial for GPS performance in handovers.","2377-3766","","10.1109/LRA.2021.3067299","Mills Family Faculty Fellowship; Helmsley Charitable Trust through the Agricultural, Biological, and Cognitive (ABC) Robotics Initiative; Ben-Gurion University of the Negev; Israel Science Foundation(grant numbers:1627/17); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381633","Manipulation planning;physical human-robot interaction;reinforcement learning","Global Positioning System;Robots;Handover;Task analysis;Training;Trajectory;Heuristic algorithms","","10","","36","CCBY","18 Mar 2021","","","IEEE","IEEE Journals"
