ID,ENTRYTYPE,author,title,year,journal,booktitle,doi,url,abstract,pages
WOS:000655241800345,inproceedings,"Ashtari, Erfan and Basiri, Mohammad Amin and Nejati, Saeid Mohammadi and
Zandi, Hemen and Rezaei, Seyyed Hossein SeyyedAghaei and Masouleh, Mehdi
Tale and Kalhor, Ahmad","Indoor and Outdoor Face Recognition for Social Robot, Sanbot Robot as
Case Study",2020,,2020 28TH IRANIAN CONFERENCE ON ELECTRICAL ENGINEERING (ICEE),10.1109/icee50131.2020.9260698,,"The interaction between human and robots is of paramount importance in
comforting robot and human in the context of social demand. For the
purpose of human-robot interaction, the robot should have the ability to
perform a variety of actions including face recognition, path planning,
etc. In this paper, face recognition has been implemented on the Sanbot
robot. Since the Sanbot robot is intended to work in real environment,
therefore indoor and outdoor environment is taken into account in
proposing the corresponding face recognition algorithm. For each case a
robust pre-processing algorithm should be designed and which can
circumvent a challenging problem in face recognition, namely, different
lighting conditions (light intensity, angle of radiation, etc.). In case
of indoor environment, faces in an captured image by the robot HD camera
are found using a Haar-cascade algorithm. Afterwards, a histogram
equalization is applied to face images in order to standardize them.
Then commonly practiced Deep convolutional neural network structures
such as Inception and ResNet are used to design a model and trained
end-to-end on a customized dataset with strong augmentation. Finally, by
using a voting method, proper prediction is carried out on each face. In
what concerns the outdoor environment, which has more challenges, upon
applying histogram Equalization on the captured image, faces are found
using a MultiTask Cascaded Convolutional Neural Network. Then face
images are aligned as head orientation are corrected. Finally, cropped
face image is fed to Siamese Network in order to extract face features
and verifying individuals. From several practical results it has been
inferred that the accuracy of the indoor method is nearly 93\% without
voting and with voting 97\%, and the outdoor method is about 95\%.",1768-1774
WOS:001438395600010,inproceedings,"Bourguet, Marie-Luce and Xu, Minghe and Zhang, Shiyu and Urakami,
Jacqueline and Venture, Gentiane",The Impact of a Social Robot Public Speaker on Audience Attention,2020,,"PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE ON HUMAN-AGENT
INTERACTION, HAI 2020",10.1145/3406499.3415073,,"Social robots acting as stand-ins for speakers or teachers would enable
them to reach large audiences from anywhere in the world, increasing the
options for distant learning. They would need to be endowed with
effective public speaking skills though, in order to deliver their
message, entertain, and maintain audience attention.
In this paper, we report two user studies to understand the impact of a
social robot public speaker on its audience and compare it to a skilled
human speaker. The first study uses an in-house audience attention
monitoring system based on computer vision and machine learning; the
second study uses eye tracking technology. For both studies, we
programmed the social robot Pepper to deliver a short speech in its
robotic voice while mimicking the behaviour of a skilled human speaker.
We found that, when the audience has a genuine interest in the speech,
the robot manages to maintain audience attention level as well as the
human speaker but fails to arouse interest as much. When the audience is
not particularly interested in the speech, the human speaker is better
at maintaining audience attention: the novelty of the robot does not
compensate for the lack of interest in the speech content, and the
robot's behaviour is found to be distracting. Finally, understanding of
the speech content is significantly lower for the robot audience. It
could be linked to lower audience attention levels, to the robot's lack
of facial expressions and failure to convey enthusiasm, or to a feeling
that the robot is not legitimate to speak about the topics touched on in
the speeches.",60-68
WOS:000941364100001,article,"Tziolas, Emmanouil and Karapatzak, Eleftherios and Kalathas, Ioannis and
Karampatea, Aikaterini and Grigoropoulos, Antonios and Bajoub, Aadil and
Pachidis, Theodore and Kaburlasos, Vassilis G. G.","Assessing the Economic Performance of Multipurpose Collaborative Robots
toward Skillful and Sustainable Viticultural Practices",2023,SUSTAINABILITY,,10.3390/su15043866,,"The increased cost of labor in modern viticulture stemming from the
nature of operations that require physical strength and precision,
coupled with labor shortages, poses a significant constraint in
facilitating and scheduling seasonal activities. Therefore, autonomous
collaborative robots present a potential solution for achieving
sustainable development objectives and decreasing operational
expenditures in agricultural operations. The current paper presents an
economic assessment of collaborative robots (or cobots for short) in
comparison to conventional labor for four different cultivars in Greece
in a lifecycle costing methodological framework. The selected cultivars
are Asyrtiko, Cabernet Sauvignon, Merlot and Tempranillo, which are
cultivated by two private wineries in the area of interest. All the
relevant expenses of their annual production were distributed to
agricultural operations, and eight scenarios were developed to compare
conventional and cobot practices. The results indicate the great
potential of cobots regarding specific viticultural operations such as
weed control, pruning, herbiciding and topping. The adoption of cobots
in these operations has the potential to contribute to sustainable
agriculture by reducing labor costs and addressing labor shortages,
while also increasing the efficiency and precision of these tasks.
Nevertheless, the defoliation and tying operations appeared to be
inefficient in most cases in comparison to conventional labor practices.
Overall, the annual equivalent costs could be reduced by up to 11.53\%
using cobots, even though the projected lifetime of the cobots plays a
significant role in the cost-effectiveness of autonomous robotic labor
in viticulture. In conclusion, cobots could be instrumental in the Greek
viticulture, integrating innovation and high-quality products toward
sustainable agricultural development.",
WOS:001521823200001,article,"Romano, Anastasia and Golunova, Elizaveta and Marruchella, Giuseppe and
Dondona, Andrea Capobianco and Bernabo, Nicola and Del Negro, Ercole and
Pettinella, Simon Danny and Naadland, Sondre Stokke and Jensen, Axel
Donnum and Alvseike, Ole Arne and Nagel-Alne, Gunvor Elise","Automated detection and scoring of pleurisy in Norwegian slaughtered
pigs: a field trial",2025,FOOD CONTROL,,10.1016/j.foodcont.2025.111514,,"Abattoirs provide a valuable opportunity to assess the impact of porcine
pleuropneumonia, as lesions caused by Actinobacillus pleuropneumoniae
remain visible at postmortem inspections. This study evaluated an
artificial intelligence (AI)-based system for scoring pleurisy in
slaughtered pigs under field conditions. The trial was conducted in a
Norwegian abattoir, where a collaborative robot automatically captured
carcass images. A convolutional neural network assessed pleurisy
according to the ``Pleurisy Evaluation on the Parietal Pleura{''}
method. In parallel, veterinarians and meat inspectors from the
Norwegian Food Safety Authority scored pleurisy using a binary system,
based on the presence or absence of lesions exceeding 15 cm. Moreover, a
subset of 500 images were scored by two academic veterinarians (one has
been working for decades in farm animals' pathology, and the other is a
PhD student studying farm animals' respiratory pathology) using the
``Pleurisy Evaluation on the Parietal Pleura{''} method. The same
veterinarians recorded lesions larger than 15 cm. The AI system detected
pleurisy in 9.80 \% of pigs, demonstrating high specificity and
sensitivity (>95 \%) compared with veterinary assessments of digital
images. Norwegian meat inspection staff reported pleurisy in 5.18 \% of
pigs, showing a moderately strong correlation with the AI system
(Spearman's rho = 0.67). Very large lesions were identified in 3.4-4.6
\% of digital images by veterinarians. Prevalence results aligned with
historical data, being consistent with the high health status of
Norwegian pig herds. Lesions were mainly located on the caudal chest
wall, supporting Actinobacillus pleuropneumoniae as a major causative
agent. This study highlights the potential of AI-driven tools to enhance
disease surveillance, reduce observer variability, and facilitate
large-scale data collection in slaughterhouse environments.",
WOS:000724145800116,inproceedings,"Rocha, Rui Pedro and de Almeida, Anibal T. and Tavakoli, Mahmoud","Water Based Magnification of Capacitive Proximity Sensors: Water
Containers as Passive Human Detectors",2020,,"2020 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS
(IROS)",10.1109/IROS45743.2020.9340877,,"Sensors that detect human presence received an increasing attention due
to the recent advances in smart homes, collaborative fabrication cells,
and human robot interaction. These sensors can be used in collaborative
robot cells and mobile robots, in order to increase the robot awareness
about the presence of humans, in order to increase safety during their
operation. Among proximity detection systems, capacitive sensors are
interesting, since they are low cost and simple human proximity
detectors, however their detection range is limited. In this article, we
show that the proximity detection range of a capacitive sensor can be
enhanced, when the sensor is placed near a water container. In addition,
the signal can pass trough several adjacent water containers, even if
they are separated by a few centimeters. This phenomenon has an
important implication in establishing low cost sensor networks. For
instance, a limited number of active capacitive sensor nodes can be
linked with several simple passive nodes, i.e. water containers, to
detect human or animal proximity in a large area such as a farm, a
factory or home. Analysis on the change of the maximum proximity range
with sensor dimension, container size and liquid filler was performed in
order to study this effect. Examples of application are also
demonstrated.",11058-11064
WOS:000772451900022,article,"Yan, Yijun and Ren, Jinchang and Zhao, Huan and Windmill, James F. C.
and Ijomah, Winifred and de Wit, Jesper and von Freeden, Justus","Non-Destructive Testing of Composite Fiber Materials With Hyperspectral
Imaging-Evaluative Studies in the EU H2020 FibreEUse Project",2022,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,,10.1109/TIM.2022.3155745,,"Through capturing spectral data from a wide frequency range along with
the spatial information, hyperspectral imaging (HSI) can detect minor
differences in terms of temperature, moisture, and chemical composition.
Therefore, HSI has been successfully applied in various applications,
including remote sensing for security and defense, precision agriculture
for vegetation and crop monitoring, food/drink, and pharmaceuticals
quality control. However, for condition monitoring and damage detection
in carbon fiber reinforced polymer (CFRP), the use of HSI is a
relatively untouched area, as existing non-destructive testing (NDT)
techniques focus mainly on delivering information about physical
integrity of structures but not on material composition. To this end,
HSI can provide a unique way to tackle this challenge. In this article,
with the use of a near-infrared (NIR) HSI camera, applications of HSI
for the non-destructive inspection of CFRP products are introduced,
taking the European Union (EU) H2020 FibreEUse project as the
background. Technical challenges and solutions on three case studies are
presented in detail, including adhesive residues detection, surface
damage detection, and cobot-based automated inspection. Experimental
results have fully demonstrated the great potential of HSI and related
vision techniques for NDT of CFRP, especially the potential to satisfy
the industrial manufacturing environment.",
WOS:001277017600001,article,"Qian, Can and Yang, Kaisheng and Ruan, Yangfei and Hu, Junhao and Shao,
Zixuan and Wang, Chongchong and Xie, Chuanqi","Design and Analysis of a Symmetric Joint Module for a Modular
Wire-Actuated Robotic Arm with Symmetric Variable-Stiffness Units",2024,SYMMETRY-BASEL,,10.3390/sym16070829,,"Collaborative robots are used in scenarios requiring interaction with
humans. In order to improve the safety and adaptability of collaborative
robots during human-robot interaction, this paper proposes a modular
wire-actuated robotic arm with symmetric variable-stiffness units. The
variable-stiffness unit is employed to extend the stiffness-adjustment
range of the robotic arm. The variable-stiffness unit is designed based
on flexure, featuring a compact and simple structure. The
stiffness-force relationship of the variable-stiffness unit can be
fitted by a quadratic function with an R-squared value of 0.99981,
indicating weak nonlinearity. Based on the kinematics and stiffness
analysis of the symmetric joint module of the robotic arm, the
orientation of the joint module can be adjusted by regulating the length
of the wires and the stiffness of the joint module can be adjusted by
regulating the tension of the wires. Because of the actuation
redundancy, the orientation and stiffness of the joint module can be
adjusted synchronously. Furthermore, a direct method is proposed for the
stiffness-oriented wire-tension-distribution problem of the 1-DOF joint
module. A simulation is carried out to verify the proposed method. The
simulation result shows that the deviation between the calculated
stiffness and the desired stiffness was less than 0.005\%.",
WOS:000478663200036,article,"Giefer, Lino Antoni and Castellanos, Juan Daniel Arango and Babr,
Mohammad Mohammadzadeh and Freitag, Michael","Deep Learning-Based Pose Estimation of Apples for Inspection in Logistic
Centers Using Single-Perspective Imaging",2019,PROCESSES,,10.3390/pr7070424,,"Fruit packaging is a time-consuming task due to its low automation
level. The gentle handling required by some kinds of fruits and their
natural variations complicates the implementation of automated quality
controls and tray positioning for final packaging. In this article, we
propose a method for the automatic localization and pose estimation of
apples captured by a Red-Green-Blue (RGB) camera using convolutional
neural networks. Our pose estimation algorithm uses a cascaded structure
composed of two independent convolutional neural networks: one for the
localization of apples within the images and a second for the estimation
of the three-dimensional rotation of the localized and cropped image
area containing an apple. We used a single shot multi-box detector to
find the bounding boxes of the apples in the images. Lie algebra is used
for the regression of the rotation, which represents an innovation in
this kind of application. We compare the performances of four different
network architectures and show that this kind of representation is more
suitable than using state-of-the-art quaternions. By using this method,
we achieved a promising accuracy for the rotation regression of 98.36\%,
considering an error range lower than 15 degrees, forming a base for the
automation of fruit packing systems.",
WOS:000859581100001,article,"Mocan, Bogdan and Mocan, Mihaela and Fulea, Mircea and Murar, Mircea and
Feier, Horea",Home-Based Robotic Upper Limbs Cardiac Telerehabilitation System,2022,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,10.3390/ijerph191811628,,"This article proposes a new, improved home-based cardiac
telerehabilitation system enhanced by a robotic and Virtual Reality
module for cardiac patients to be used in their rehabilitation program.
In this study, a novel strategy was used to integrate existing equipment
and applications with newly developed ones, with the aim of reducing the
need for technical skills of patients using remote control. Patients
with acute or chronic heart diseases require long-term, individualized
rehabilitation in order to promote their motor recovery and maintain an
active and independent lifestyle. This will be accomplished by creating
a system for at-home cardiac telerehabilitation augmented by a VR and
cobot systems, which can be used long-term at home by each individual
patient. In the pre-feasibility study carried out on healthy volunteers
familiar with software applications and robotic systems, we demonstrate
that RoboTeleRehab could be technically feasible both hardware and
software.",
WOS:000838684300005,inproceedings,"Shu, Beibei and Sziebig, Gabor",Collaboration with High-Payload Industrial Robots: Simulation for Safety,2019,,ADVANCED MANUFACTURING AND AUTOMATION VIII,10.1007/978-981-13-2375-1\_5,,"When operators and industrial robots are sharing the same task, there
are multiple factors, which effect if a system is safe for the human
operator or not. In general this is solved by introducing Collaborative
Robot for cooperation, but what happens when we would extend our already
existing production facilities with newer comfort features?
In this paper we propose to include industrial robots and humans
executing the same task, while their safety is supervised by a
simulation environment, where all necessary precautions are taken. The
task is a simple nut-screw operation, where the industrial robot is
executing the hard lifting part for the screw and the human holds the
nut to be screwed on the screw. Results are demonstrated through
simulation and in reality also.",34-38
WOS:001339076200001,article,"Canadas-Aranega, Fernando and Moreno, Jose C. and Blanco-Claraco, Jose
L. and Gimenez, Antonio and Rodriguez, Francisco and Sanchez-Hermosilla,
Julian","Autonomous collaborative mobile robot for greenhouses: Design,
development, and validation tests",2024,SMART AGRICULTURAL TECHNOLOGY,,10.1016/j.atech.2024.100606,,"This paper describes the development of a mobile agricultural robot
capable of performing high-capacity transport tasks within greenhouses
in presence of people or other agricultural machines. The main objective
is to provide the robot with enough technology to work collaboratively
with nearby human workers. In addition, the robot must also be able to
transport 100 kilograms in a safe way over uneven terrain, a
characteristic not usually found in existing greenhouse robots. This is
important to ensure the sustainability of intensive greenhouse
cultivation, as it is essential to allow more flexible use of robots
when adapting. This would allow for expanding infrastructure size and
operating volume to suit different greenhouse conditions, thus
maximizing production. The robot is fitted with different sensors to
enable autonomous navigation, perception, and to identify the
environment and the operators (3D LiDAR, stereo cameras, and
ultrasound). It also features the hardware necessary for cloud
connection to share data in real time. All sensors have been validated
to work correctly, hence the robot can move around the greenhouse. With
the software currently used for collaborative robotics, the ultrasounds
correctly identify the environment, and cameras and LiDAR can locate the
farmer correctly. In this work, several gaps in greenhouse robotics are
addressed by designing, developing, and validating a collaborative
mobile robot with advanced sensors and algorithms with IoT integration.
The robot lays the foundation for the implementation of autonomous
navigation, collaborating with farmers in real-time and efficient
operation in complex greenhouse environments, laying the groundwork for
future advances in agricultural automation.",
WOS:001430985500004,inproceedings,"Indurkhya, Xela and Venture, Gentiane",Audio-Based Analysis of Child-Robot Interactions in the Wild,2024,,"EUROPEAN ROBOTICS FORUM 2024, ERF, VOL 2",10.1007/978-3-031-76428-8\_4,,"We describe 2 in-the-wild child-robot interaction English-language group
experiments conducted in India, using the social robot Vector. We
analyze the children's engagement with the robot for the duration of
each interaction by analyzing their vocal behavior using 3 approaches:
the gendering of the robot by the children, a behavioral categorization
system, and a qualitative breakdown of vocal behaviors observed. We
highlight the potential of audio- and language-based behavioral analysis
for human-robot interaction.",19-23
WOS:001192693400001,article,"Kee, Elven and Chong, Jun Jie and Choong, Zi Jie and Lau, Michael","Object Detection with Hyperparameter and Image Enhancement Optimisation
for a Smart and Lean Pick-and-Place Solution",2024,SIGNALS,,10.3390/signals5010005,,"Pick-and-place operations are an integral part of robotic automation and
smart manufacturing. By utilizing deep learning techniques on
resource-constraint embedded devices, the pick-and-place operations can
be made more accurate, efficient, and sustainable, compared to the
high-powered computer solution. In this study, we propose a new
technique for object detection on an embedded system using SSD Mobilenet
V2 FPN Lite with the optimisation of the hyperparameter and image
enhancement. By increasing the Red Green Blue (RGB) saturation level of
the images, we gain a 7\% increase in mean Average Precision (mAP) when
compared to the control group and a 20\% increase in mAP when compared
to the COCO 2017 validation dataset. Using a Learning Rate of 0.08 with
an Edge Tensor Processing Unit (TPU), we obtain high real-time detection
scores of 97\%. The high detection scores are important to the control
algorithm, which uses the bounding box to send a signal to the
collaborative robot for pick-and-place operation.",87-104
