ID,ENTRYTYPE,author,title,year,journal,booktitle,doi,url,abstract,pages
10.1145/3757533,article,"Lee, Chanhee and Joung, Eunki and Koh, Youngji and Kim, Esther and Son, Sohwi and Kwon, Sunjung and Lee, Uichin", 'In That Small Space with Just the Two of Us': User Experiences with Cumpa in a Robotic Counseling Center,2025,Proc. ACM Hum.-Comput. Interact.,,10.1145/3757533,https://doi.org/10.1145/3757533,"The growing demand for mental health support has highlighted the limitations of traditional counseling accessibility, increasing the usage of digital mental health interventions. There has been a rising interest in using robots to support mental health due to their benefits in engagement and rapport. Capitalizing on the opportunity of placemaking for designing a feasible robotic digital mental health intervention, our study explores the Robot Counseling Center (RCC) and its robotic counselor, Cumpa, designed to improve mental health accessibility and user engagement. A two-week field study with 20 participants evaluated RCC's impact on their mental health, engagement, and sense of place within a counseling environment. Results indicate that RCC positively influences emotional awareness and engagement. Our findings provide insights into the role of social robots in mental health interventions and offer design implications for developing robotic counseling centers as supportive, effective spaces, contributing to building better places and interactive systems.",
10.1145/3637843.3637853,inproceedings,"Devarakonda, Sachidananda Bharadwaj and Sharma, Soumyajit Sen and Rudra Pal, Abhishek",Design and development of medical cobot to assist surgeon,2024,,Proceedings of the 2023 9th International Conference on Robotics and Artificial Intelligence,10.1145/3637843.3637853,https://doi.org/10.1145/3637843.3637853,"This paper presents an automated collaborative robot that works with a surgeon during a surgical operation incorporated with Machine learning algorithms and Deep learning algorithms to assist the surgeon by performing auxiliary actions. Our main objective is to create a framework for a collaborative nurse robot that upon voice instruction, will recognize and classify the surgical instruments present in the surgical tray and execute manual tasks such as picking up and delivering that instrument to its operator. There have been discussions on the types of co-bots and the types that can embrace the prescribed idea. After visualizing a co-bot model, designing it in CAD software is a crucial initiation to judge the practicality of the robot. The robot was designed to test its navigation before prototyping it. The main objectives to accomplish the working of an assistant medical co-bot is discussed. For object detection Aruco marker that uses Convolution Neural Network is implicated, for voice detection Google's speech recognition system having Deep neural network algorithm is embraced and for training the Co-bot using Arduino libraries is being discussed. Python has been used as a programming language and pyserial to communicate with Arduino from other two systems i.e., voice recognition system and object detection system. This medical Co-bot reflects our effort to lessen stress on surgeon and human error during operation.",38–44
10.1145/3610977.3634994,inproceedings,"Kamino, Waki and Jung, Malte F. and Sabanovi\'{c}, Selma",Constructing a Social Life with Robots: Shifting Away From Design Patterns Towards Interaction Ritual Chains,2024,,Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3610977.3634994,https://doi.org/10.1145/3610977.3634994,"Robot designers commonly conceptualize robot sociality as a collection of features and capabilities. In contrast, sociologists define sociality as continuously constructed through interpersonal interactions. Based on the latter perspective, we trace how robots are incorporated into emerging social interaction ritual chains by robot companies and their staff and by robot owners across diverse contexts: homes, cafes, robot stores, user-organized meetups, and company events for robot users. Our empirical findings from ethnographic field work in Japan relating to three robots -- aibo, RoboHon, and LOVOT -- show how companies create positive interactions between people and robots by incorporating familiar design patterns into robots, modeling successful interactions in person and online, and bringing owners together in events that establish common values of acceptance of social robots as artifacts to live with and nurture. Owners, for their part, develop interaction rituals that include robots in their daily activities, make interpersonal connections, and experience emotionally resonant interactions, around robots in public meetups and events. Through these emerging interaction ritual chains, companies and owners construct the notion of robots as social agents to live with as a meaningful component of their emotional experiences and broader social relationships. Our work suggests that social robot design should consider this broader framing of sociality and create affordances for establishing interaction ritual chains more explicitly.",343–351
10.1145/3544549.3583838,inproceedings,"Ooms, Simone and Kolvenbag, Jay and Bording, Charlotte",Lighting up well-being with Bulb,2023,,Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems,10.1145/3544549.3583838,https://doi.org/10.1145/3544549.3583838,"Due to the Covid-19 pandemic, two problems arose. Students lacked 1) social opportunities and 2) motivation to maintain their schedules, e.g., studying or relaxing, as their work-life balance disappeared. Thus, we designed a social companion robot, Bulb, that helped students cycle through daily activities with subtle cues, i.e., light, gaze, and movements. Bulb’s ""head"" would light up with different colors or it gazes at different parts of the room, e.g., at the laptop to hint at studying or wiggling to suggest a small break. Five students evaluated Bulb through at-home use, which demonstrated that Bulb was seen as a ""living being"" and students were responsive to its social cues, like following Bulb’s gaze, resulting in a higher awareness and follow-through of students’ schedules. Our contribution is in designing a social companion robot that subtly persuaded students through light and anthropomorphic social cues, helping them maintain their daily schedule during the pandemic.",
10.1145/3719020,article,"Zhang, Qiping and Tsoi, Nathan and Nagib, Mofeed and Choi, Booyeon and Tan, Jie and Chiang, Hao-Tien Lewis and V\'{a}zquez, Marynel",Predicting Human Perceptions of Robot Performance during Navigation Tasks,2025,J. Hum.-Robot Interact.,,10.1145/3719020,https://doi.org/10.1145/3719020,"Understanding human perceptions of robot performance is crucial for designing socially intelligent robots that can adapt to human expectations. Current approaches often rely on surveys, which can disrupt ongoing human–robot interactions. As an alternative, we explore predicting people’s perceptions of robot performance using non-verbal behavioral cues and machine learning techniques. We contribute the SEAN TOGETHER Dataset consisting of observations of an interaction between a person and a mobile robot in Virtual Reality, together with perceptions of robot performance provided by users on a 5-point scale. We then analyze how well humans and supervised learning techniques can predict perceived robot performance based on different observation types (like facial expression and spatial behavior features). Our results suggest that facial expressions alone provide useful information, but in the navigation scenarios that we considered, reasoning about spatial features in context is critical for the prediction task. Also, supervised learning techniques outperformed humans’ predictions in most cases. Further, when predicting robot performance as a binary classification task on unseen users’ data, the  (F_{1}) -Score of machine learning models more than doubled that of predictions on a 5-point scale. This suggested good generalization capabilities, particularly in identifying performance directionality over exact ratings. Based on these findings, we conducted a real-world demonstration where a mobile robot uses a machine learning model to predict how a human who follows it perceives it. Finally, we discuss the implications of our results for implementing these supervised learning models in real-world navigation. Our work paves the path to automatically enhancing robot behavior based on observations of users and inferences about their perceptions of a robot.",
10.1145/3611680,article,"Zhang, Xiajie",Designing Personalized Pedagogical AI Agents to Support Children's Exploratory Learning,2023,XRDS,,10.1145/3611680,https://doi.org/10.1145/3611680,Can a social robot support children to become better learners? How personalizing a social robot's behavior can encourage learner exploration.,16–21
10.5555/3721488.3721508,inproceedings,"Elias, Alex and Galvez Trigo, Maria J. and Camacho-Villa, Carolina",Analyzing Previous Human-Robot Interaction Implementation in Agriculture: What Can We Learn from the Past?,2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,"With the recent shift from conventional industrial robots to more collaborative Human-Robot Interaction (HRI) robots within industries such as the agriculture sector, it has become essential to understand the challenges associated with the adoption of these robots to ensure a smooth integration with minimal resistance. As with all new technologies, there is often push-back when changing approaches and initiating new pathways within company operations, which can cause hesitation and even halt the adoption process. This paper draws from interviews with agricultural companies that have previously attempted to implement robots requiring direct human interaction, focusing on individuals within those companies who had decision-making capabilities during the implementation process. From these interviews, a set of action principles has been developed based on transferable knowledge found within the participating companies. The main results of this user study highlight that previous implementation attempts, whether positive or negative, influence future adoption. The study also identifies the multitude of barriers surrounding the agricultural sector's adoption of these technologies and suggests potential actions for companies to take to minimize the issues associated with implementing HRI robots. By identifying common successes and failures and contextualizing them for other companies to follow, this study aims to utilize lessons learned from past implementation attempts to shorten the learning curve and reduce hesitation in adopting HRI robots within the agricultural sector.",123–131
10.5555/3721488.3721635,inproceedings,"Williams, Tom",Improvising Interaction: Toward Applied Improvisation Driven Social Robotics Theory and Education,2025,,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,,,"Theater-based design methods are seeing increased use in social robotics, as embodied roleplay is an ideal method for designing embodied interactions. Yet theater-based design methods are often cast as simply one possible tool; there has been little consideration of the importance of specific improvisational skills for theater-based design; and there has been little consideration of how to train students in theater-based design methods.We argue that improvisation is not just one possible tool of social robot design, but is instead central to social robotics. Leveraging recent theoretical work on Applied Improvisation, we show how improvisational skills represent (1) a set of key capabilities needed for any socially interactive robot, (2) a set of learning objectives for training engineers in social robot design, and (3) a set of methodologies for training those engineers to engage in theater-based design methods.Accordingly, we argue for a reconceptualization of Social Robotics as an Applied Improvisation project; we present, as a speculative pedagogical artifact, a sample syllabus for an envisioned Applied Improvisation driven Social Robotics course that might give students the technical and improvisational skills necessary to be effective robot designers; and we present a case study in which Applied Improvisation methods were simultaneously used (a) by instructors, to rapidly scaffold engineering students' improvisational skills and (b) by those students, to engage in more effective human-robot interaction design.",1140–1148
10.1145/3762675,article,"Cuan, Catie and Jeffrey, Kyle and Kleiven, Kim and Li-Bell, Adrian and Fisher, Emre and Harrison, Matt and Holson, Benjie and Okamura, Allison and Bennice, Matt",Interactive Multi-Robot Flocking with Gesture Responsiveness and Musical Accompaniment,2025,J. Hum.-Robot Interact.,,10.1145/3762675,https://doi.org/10.1145/3762675,"For decades, robotics researchers have pursued various tasks for multi-robot systems, from cooperative manipulation to search and rescue. These tasks are multi-robot extensions of classical robotic tasks and often optimized on dimensions such as speed or efficiency. As robots transition from commercial and research settings into everyday environments, social task aims such as engagement or entertainment become increasingly relevant. This work presents a designerly contribution—building a multi-robot task in which the main aim is to enthrall and interest. In this task, the goal is for a human to be drawn to move alongside and participate in a dynamic, expressive robot flock. Towards this aim, the research team created algorithms for robot movements and engaging interaction modes such as gestures and sound. The contributions are as follows: (1) a novel group navigation algorithm involving human and robot agents, (2) a gesture responsive algorithm for real-time, human–robot flocking interaction, (3) a weight mode characterization system for modifying flocking behavior, and (4) a method of encoding a choreographer’s preferences inside a dynamic, adaptive, learned system. An experiment was performed to understand individual human behavior while interacting with the flock under three conditions: weight modes selected by a human choreographer, a learned model, or subset list. Results from the experiment indicated that the perception of the experience was not influenced by the weight mode selection. This work elucidates how differing task aims such as engagement manifest in multi-robot system design and execution, and broadens the domain of multi-robot tasks.",
10.1145/3750069.3750119,inproceedings,"De Carolis, Berardina and Macchiarulo, Nicola and La Forgia, Angela and Melone, Giovanni and Nardelli, Fabio",Designing and Evaluating Rebecca: a Telepresence Robot in the Shoes of A Social Assistant for Cognitive Stimulation Therapy,2025,,Proceedings of the 16th Biannual Conference of the Italian SIGCHI Chapter,10.1145/3750069.3750119,https://doi.org/10.1145/3750069.3750119,"Social Assistive Robotics (SAR) has been successfully employed in therapeutic interventions for elderly individuals affected by cognitive impairments. However, the high cost of such systems often represents a barrier to their widespread adoption in cognitive stimulation programs targeting people with Mild Cognitive Impairment (MCI) and Mild Dementia (MD). Conversely, during the COVID-19 pandemic, telepresence robots became increasingly common in nursing homes to connect residents with caregivers and family members. Building on the availability and affordability of telepresence platforms, this study explores the transformation of a telepresence robot into a social one for use in Cognitive Stimulation Therapy (CST) within a Residential Care Facility (RCF) by developing a custom social interface. To this end, the Rebecca Social Robot Interface was designed using a User-Centered Design (UCD) approach and evaluated in a 4-week experimental study involving seven residents of an RCF enrolled in a Cognitive Stimulation Therapy (CST) program. Given the importance of ensuring intuitive and engaging interactions between the robot and older adults, measures of usability, user experience, and trust were evaluated. The HCI experts involved in the project analyzed the results of the evaluation sessions, gathered through questionnaires and observations, and used them to improve interaction usability and participant engagement. Results show that the iterative refinement of the Rebecca interface led to a good level of acceptance among the participants. The elderly users were attentive and actively involved in the tasks, indicating that a well-designed social interface can effectively foster interaction and engagement, even on low-cost telepresence robots.",
10.1145/3590837.3590903,inproceedings,"Patnaik, Amitabh and Dawar, Sunny and Kudal, Pallavi",Industry 5.0: Sustainability Challenges in Fusion of Human and AI,2023,,Proceedings of the 4th International Conference on Information Management &amp; Machine Intelligence,10.1145/3590837.3590903,https://doi.org/10.1145/3590837.3590903,"Most industrial revolutions aim to separate human labor from that of machines. These machines are referred as ""machines"" or ""robots,"" will eventually take over the majority of the labor-intensive, monotonous, or hazardous tasks currently performed by people. Cleaning robots, for instance, can efficiently clean a room or an office. Future cleaning chores will eventually all be carried out by robots; it is only a question of time. Although currently both humans and robots can perform cleaning tasks, prior data on the rate of mechanization suggests that in the future humans will perform fewer cleaning than robots. The degree of technology and public acceptance of robots determine how quickly automation permeates human lives. Studying how people and robots interact and how it affects society is crucial because robots may have a big impact on civilization. Industry 4.0 has attracted a lot of interest since its debut in 2011. Additionally, the conversation around Industry 5.0 has already begun among some academics and futurists. They present various visions of Industry 5.0. Collaboration between robots and humans is one evolving topic for Industry 5.0. People are unsure of what Industry 5.0's theme will be after some time. However, people can be certain that the coworking of humans and robots will be a significant advancement for society and have a big impact on how people conduct business. Researchers aim at contrasting Industry 4.0 with Industry 5.0 perspectives. Further researchers concentrate on the challenges which people would face when co-working between humans and robots start. Researchers finish the study by briefly discussing potential areas for future investigation.",
10.1145/3706598.3714271,inproceedings,"Xu, Jiaxin and Zhang, Chao and Cuijpers, Raymond H. and IJsselsteijn, Wijnand A.",Does Care Lead to Bonds? Exploring the Relationship Between Human Caregiving for Robots and Human-Robot Bonding,2025,,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,10.1145/3706598.3714271,https://doi.org/10.1145/3706598.3714271,"This study investigates how interaction scenarios of human caregiving for robots affect humans’ perceived bond with robots. In a between-subjects lab experiment (n = 88), participants played a game with a social robot during which they provided either 1) emotional care (comforting the robot); 2) instrumental care (helping with battery charging); or 3) no care for the robot. Results indicated that caregiving did not significantly affect human-robot bonding according to explicit relationship measures including closeness, social attraction, or desire for future interaction. However, caregiving mattered when bonding was measured implicitly. Those in the emotional caregiving scenario were more hesitant to replace the robot and invested more effort in a voluntary task requested by the robot than those who provided no care. These findings provide empirical evidence that emotional caregiving interactions can effectively foster initial human-robot bonding, highlighting a promising design scenario for human-robot interaction.",
10.1145/3706029,article,"Dincer, Enes Ulas and Al-Saadi, Zaid and Hamad, Yahya M. and Aydin, Yusuf and Kucukyilmaz, Ayse and Basdogan, Cagatay",A Machine Learning Approach to Resolving Conflicts in Physical Human–Robot Interaction,2025,J. Hum.-Robot Interact.,,10.1145/3706029,https://doi.org/10.1145/3706029,"As artificial intelligence techniques become more sophisticated, we anticipate that robots collaborating with humans will develop their own intentions, leading to potential conflicts in interaction. This development calls for advanced conflict resolution strategies in physical human–robot interaction (pHRI), a key focus of our research. We use a machine learning (ML) classifier to detect conflicts during co-manipulation tasks to adapt the robot’s behavior accordingly using an admittance controller. In our approach, we focus on two groups of interactions, namely “harmonious” and “conflicting,” corresponding respectively to the cases of the human and the robot working in harmony to transport an object when they aim for the same target, and human and robot are in conflict when human changes the manipulation plan, e.g. due to a change in the direction of movement or parking location of the object.Co-manipulation scenarios were designed to investigate the efficacy of the proposed ML approach, involving 20 participants. Task performance achieved by the ML approach was compared against three alternative approaches: (a) a rule-based (RB) Approach, where interaction behaviors were rule-derived from statistical distributions of haptic features; (b) an unyielding robot that is proactive during harmonious interactions but does not resolve conflicts otherwise, and (c) a passive robot which always follows the human partner. This mode of cooperation is known as “hand guidance” in pHRI literature and is frequently used in industrial settings for so-called “teaching” a trajectory to a collaborative robot.The results show that the proposed ML approach is superior to the others in task performance. However, a detailed questionnaire administered after the experiments, which contains several metrics, covering a spectrum of dimensions to measure the subjective opinion of the participants, reveals that the most preferred mode of interaction with the robot is surprisingly passive. This preference indicates a strong inclination toward an interaction mode that gives more control to humans and offers less demanding interaction, even if it is not the most efficient in task performance. Hence, there is a clear trade-off between task performance and the preferred mode of interaction of humans with a robot, and a well-balanced approach is necessary for designing effective pHRI systems in the future.",
10.1145/3612783.3612789,inproceedings,"Ramis Guarinos, Silvia and Manresa Yee, Cristina and Buades Rubio, Jose Maria and Gaya-Morey, Francesc Xavier",Explainable Facial Expression Recognition for People with Intellectual Disabilities,2024,,Proceedings of the XXIII International Conference on Human Computer Interaction,10.1145/3612783.3612789,https://doi.org/10.1145/3612783.3612789,"Facial expression recognition plays an important role in human behaviour, communication, and interaction. Recent neural networks have demonstrated to perform well at its automatic recognition, with different explainability techniques available to make them more transparent. In this work, we propose a facial expression recognition study for people with intellectual disabilities that would be integrated into a social robot. We train two well-known neural networks with five databases of facial expressions and test them with two databases containing people with and without intellectual disabilities. Finally, we study in which regions the models focus to perceive a particular expression using two different explainability techniques: LIME and RISE, assessing the differences when used on images containing disabled and non-disabled people.",
10.1145/3631700.3665242,inproceedings,"Busia, Paola and Marche, Claudio and Meloni, Paolo and Reforgiato Recupero, Diego",Design of an AI-driven Architecture with Cobots for Digital Transformation to Enhance Quality Control in the Food Industry,2024,,"Adjunct Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",10.1145/3631700.3665242,https://doi.org/10.1145/3631700.3665242,"In recent years, the rapid evolution of smart technologies has spurred enterprises to undergo digital transformations, revolutionizing their business processes and operations. This shift, known as Digital Transformation, has permeated diverse sectors, particularly impacting production systems. Notably, Artificial Intelligence (AI) and robotic automation have emerged as pivotal drivers in this transformation, promising enhanced efficiency and innovation in industrial digitization. This paper presents a novel architecture designed to facilitate digital transformation within enterprises, harnessing the capabilities of advanced collaborative robots (cobots) and cutting-edge image segmentation techniques. Focused on a practical scenario within a food production environment, our proposed architecture aims to seamlessly integrate a cobot and a camera in an automatic system for efficient cardboard disposal. Specifically, our attention is drawn to the challenge of differentiating sections of food packaging suitable for disposal from those contaminated with stains or organic residues, a task with significant implications for waste management efficiency. By leveraging a cloud-based architecture and deploying AI algorithms for image segmentation, localization, and robot guidance, our study showcases the tangible benefits and practical applicability of these methodologies in real-world settings. This research not only highlights the potential of AI-driven solutions in addressing specific industrial challenges but also underscores the broader impact of digital transformation on optimizing operational processes and driving innovation across sectors.",424–428
